ue_index,is_attested,variance_metric
0,1,0.9870331586690259
1,1,0.9810041339322115
2,1,1.004371943957994
3,1,1.0084018990512724
4,1,0.952043394089346
5,1,0.9898888284222433
6,1,0.9646502152637406
7,1,0.9624596696931812
8,1,1.0216001907803378
9,1,1.019372020667896
10,1,0.9379577571961392
11,1,1.0080136787672007
12,1,1.0261509489012168
13,1,0.9846549290284244
14,1,1.0241008330051287
15,1,0.9976616748037561
16,1,0.989777327355856
17,1,1.0184410612064867
18,1,1.038174040092446
19,1,0.9902606443148503
20,1,0.9827577222202646
21,1,0.9945240796527093
22,1,1.0509677564655289
23,1,0.9617933551902902
24,1,1.0132020152221615
25,1,1.038572626849842
26,1,0.9855236058674026
27,1,1.0275799264040035
28,1,0.9826275692893061
29,1,1.0128208464351425
30,1,0.9821023594129707
31,1,1.010348690227483
32,1,0.9817778113947273
33,1,0.9662371778593802
34,1,0.9657476461763654
35,1,1.0239481035350781
36,1,1.0290679811678678
37,1,0.9810698419736179
38,1,0.9962325919511703
39,1,1.019713159711266
40,1,0.9940257120628782
41,1,1.0007972013402509
42,1,0.9787262077473542
43,1,0.988825941606718
44,1,1.0025437754345947
45,1,0.9905592054656704
46,1,1.0185747074192268
47,1,0.9892932315514309
48,1,1.040182788813592
49,1,1.0005423221804495
50,1,1.0035092130887358
51,1,0.9932161714466864
52,1,0.9868206701447824
53,1,1.0348743355869805
54,1,1.0026750219871026
55,1,0.9964776236790894
56,1,0.9804999347265585
57,1,1.0185189851847583
58,1,0.9962346492444256
59,1,0.998041079823242
60,1,1.0162917648793526
61,1,1.0183289584139321
62,1,0.9864689624509773
63,1,0.9801757173392984
64,1,1.0076855176113924
65,1,0.9968236334495252
66,1,0.9853274855452994
67,1,1.0028024913726739
68,1,1.0088472549424652
69,1,1.0111706442327684
70,1,1.0161915722191455
71,1,0.9622077787297865
72,1,1.0326764181515768
73,1,0.9726759810454325
74,1,0.9750159419693714
75,1,0.9879595855208234
76,1,0.9980753921910916
77,1,0.9893111847089234
78,1,1.0053695270107634
79,1,0.9864660722588859
80,1,0.9912535613326304
81,1,1.0162221018406268
82,1,0.9955237440872996
83,1,1.0017649323727933
84,1,1.055173318980574
85,1,1.0078584702065647
86,1,0.9942474804457474
87,1,0.9798369444969277
88,1,0.9929288452076311
89,1,1.008081007764383
90,1,1.0446259012249883
91,1,0.9769630709568892
92,1,0.9674892995036779
93,1,0.9652899802432272
94,1,0.9835220208367231
95,1,0.991457879027542
96,1,0.9876925167556838
97,1,0.9968494776598276
98,1,1.038887616026639
99,1,1.002800554435368
100,1,1.0458427194167002
101,1,1.0529048585460918
102,1,0.9828195618116073
103,1,0.9884277672844993
104,1,0.9851153803695172
105,1,1.026768767130415
106,1,0.9877804519943131
107,1,1.0313036097166839
108,1,0.9695130416316955
109,1,1.0469459913437684
