sessions,fpr_target,memory_mb,k_hashes,lookup_time_us,actual_fpr,compliant
300000,0.0001,0.6855769157409668,14,0.32200000000000006,0.00010078572902646411,True
300000,1e-05,0.856971025466919,17,0.391,1.0019214221103093e-05,True
300000,1e-06,1.0283652544021606,20,0.46,1.0000491155159387e-06,True
1000000,0.0001,2.285256028175354,14,0.32200000000000006,0.00010078587893690955,True
1000000,1e-05,2.85657000541687,17,0.391,1.0019217475980055e-05,True
1000000,1e-06,3.427884101867676,20,0.46,1.0000494365073987e-06,True
3000000,0.0001,6.855768084526062,14,0.32200000000000006,0.00010078587893690955,True
3000000,1e-05,8.56971001625061,17,0.391,1.0019217475980055e-05,True
3000000,1e-06,10.283652067184448,20,0.46,1.0000497574989654e-06,True
